GENE	FancG_HCT116_T1	FancG_HCT116_T2	FancL_HCT116_T1	FancL_HCT116_T2	WT_HCT116_T1	WT_HCT116_T2
A1BG	-3.153	-1.133	-2.471	7.734	-5.521	-3.29
A1CF	-8.273	-20.66	-0.7440000000000001	0.057999999999999996	1.459	-1.671
A2M	-1.2790000000000001	-2.992	-12.231	-22.78	-14.874	-23.12
A2ML1	-1.902	-11.437000000000001	-10.704	-28.357	-11.398	-26.176
A3GALT2	-9.726	-17.423	-10.016	-9.736	-20.546999999999997	-19.016
A4GALT	-11.267000000000001	-9.498	-25.447	-16.322	-20.042	-3.573
A4GNT	-1.806	-4.816	-3.28	-8.104	-9.119	-20.160999999999998
AAAS	-8.453	-10.026	-16.168	-27.371	-22.927	-26.68
AACS	-3.353	-14.405999999999999	-4.648	-0.48100000000000004	-5.497000000000001	-2.9819999999999998
AADAC	10.449000000000002	-10.009	8.002	-17.977999999999998	3.236	-20.033
AADACL2	8.176	0.7929999999999999	0.884	-17.077	-8.499	-20.629
AADACL3	-0.38799999999999996	-8.259	-14.213	-13.853	-10.91	-11.427999999999999
AADACL4	-10.509	-1.8019999999999998	-18.996	-2.4619999999999997	-36.137	-37.014
AADAT	-5.402	-10.825	-9.484	-23.016	-17.777	-20.984
AAED1	-1.28	4.404	-12.189	-15.062000000000001	-16.766	-24.721999999999998
AAGAB	-4.444	-4.0489999999999995	-0.892	-0.752	-3.967	-9.509
AAK1	-9.378	-17.159000000000002	-7.343	-3.821	-17.472	-20.151
AAMDC	-3.7539999999999996	-23.145	-7.468999999999999	-15.568	-13.342	-19.887
AAMP	-5.532	-6.904	-8.482999999999999	-8.115	-1.6769999999999998	1.215
AANAT	-4.678999999999999	0.386	-12.349	-17.335	-31.070999999999998	-43.628
AAR2	-1.87	-8.641	1.77	-4.664	-2.325	-13.015
AARD	-1.796	-8.126	-3.873	-4.56	-2.8169999999999997	-4.203
AARS	10.033	13.636	22.535999999999998	35.513000000000005	22.846999999999998	14.155
AARS2	-1.7890000000000001	-8.352	-6.928	-12.229000000000001	-8.285	-7.111000000000001
AARSD1	-2.926	-3.2710000000000004	2.37	0.932	-4.181	1.3559999999999999
AASDH	2.9819999999999998	-13.619000000000002	-2.605	-13.593	2.556	-9.386000000000001
AASDHPPT	17.757	42.358000000000004	24.518	38.226	41.053000000000004	90.302
AASS	2.458	6.822	-3.2560000000000002	-18.663	-12.436	-25.795
AATF	16.087	32.075	18.093	23.245	46.423	35.444
AATK	-3.241	1.518	-19.117	-22.483	-16.459	-7.188
ABAT	-2.569	-7.358	-6.882000000000001	-6.287000000000001	-9.658	-23.078000000000003
ABCA1	-2.7710000000000004	-6.315	-7.968999999999999	-19.567	-5.555	-17.339000000000002
ABCA10	-9.84	-15.222000000000001	-18.415	-28.155	-29.054000000000002	-34.988
ABCA12	-1.429	-10.139	-4.857	-15.555	-13.825999999999999	-33.42
ABCA13	-12.494000000000002	-19.708	-13.56	-15.770999999999999	-24.641	-30.844
ABCA2	-9.835	-12.481	-7.175	-3.522	-11.273	-11.564
ABCA3	-1.983	-11.878	-9.186	-14.637	-11.433	-17.601
ABCA4	-10.734000000000002	-16.243	-18.093	-27.715	-7.876	-20.988000000000003
ABCA5	-4.9910000000000005	-17.79	-13.118	-24.840999999999998	-14.765999999999998	-34.243
ABCA6	2.988	-7.577000000000001	-5.064	-24.213	-13.52	-36.964
ABCA7	-8.378	-5.997999999999999	-15.843	-10.169	-28.279	-29.668000000000003
ABCA8	6.142	-4.32	-4.8389999999999995	-13.761	-5.365	-7.496
ABCA9	-2.7239999999999998	-7.121	-6.3229999999999995	-11.253	-13.171	-25.899
ABCB1	1.069	-5.287999999999999	1.8519999999999999	-1.53	-5.332000000000001	-14.642000000000001
ABCB10	-1.4480000000000002	-2.165	-12.5	-20.339000000000002	-1.072	-10.526
ABCB11	0.115	-16.127	-4.757	-19.624000000000002	-6.216	-17.947
ABCB4	-2.324	-14.765	-4.494	-14.275	-5.6160000000000005	-10.333
ABCB5	0.93	-15.98	-2.336	-11.949000000000002	-0.7240000000000001	-19.884
