GENE	CCLE_CELL	BF
POLA2	LS513_LARGE_INTESTINE	5.606
POLB	LS513_LARGE_INTESTINE	-28.534
POLD1	LS513_LARGE_INTESTINE	19.067
POLD2	LS513_LARGE_INTESTINE	17.747
POLD3	LS513_LARGE_INTESTINE	42.357
POLD4	LS513_LARGE_INTESTINE	-27.627
POLE	LS513_LARGE_INTESTINE	13.734
POLE2	LS513_LARGE_INTESTINE	42.415
POLE3	LS513_LARGE_INTESTINE	0.395
POLE4	LS513_LARGE_INTESTINE	-8.297
MAD2L2	LS513_LARGE_INTESTINE	17.427
POLG	LS513_LARGE_INTESTINE	-5.819
POLG2	LS513_LARGE_INTESTINE	34.758
POLH	LS513_LARGE_INTESTINE	-21.378
POLI	LS513_LARGE_INTESTINE	-29.92
POLK	LS513_LARGE_INTESTINE	-15.257
POLL	LS513_LARGE_INTESTINE	-11.97
POLM	LS513_LARGE_INTESTINE	-3.258
POLN	LS513_LARGE_INTESTINE	-17.151
POLQ	LS513_LARGE_INTESTINE	-0.084
REV3L	LS513_LARGE_INTESTINE	33.322
POLE2	C2BBE1_LARGE_INTESTINE	37.574
POLE3	C2BBE1_LARGE_INTESTINE	29.37
POLL	C2BBE1_LARGE_INTESTINE	-3.628
POLE4	C2BBE1_LARGE_INTESTINE	-10.487
POLM	C2BBE1_LARGE_INTESTINE	-20.308
POLG	C2BBE1_LARGE_INTESTINE	-10.602
POLN	C2BBE1_LARGE_INTESTINE	-26.359
POLQ	C2BBE1_LARGE_INTESTINE	-1.711
POLG2	C2BBE1_LARGE_INTESTINE	9.108
POLA2	C2BBE1_LARGE_INTESTINE	40.645
POLH	C2BBE1_LARGE_INTESTINE	-10.348
POLB	C2BBE1_LARGE_INTESTINE	-31.693
POLI	C2BBE1_LARGE_INTESTINE	-34.106
POLD1	C2BBE1_LARGE_INTESTINE	30.101
POLK	C2BBE1_LARGE_INTESTINE	-13.936
POLD2	C2BBE1_LARGE_INTESTINE	26.631
POLD3	C2BBE1_LARGE_INTESTINE	41.3
POLD4	C2BBE1_LARGE_INTESTINE	-5.168
POLE	C2BBE1_LARGE_INTESTINE	37.676
MAD2L2	C2BBE1_LARGE_INTESTINE	17.229
REV3L	C2BBE1_LARGE_INTESTINE	0.598
POLA2	253J_URINARY_TRACT	-0.878
POLD2	253J_URINARY_TRACT	24.341
POLB	253J_URINARY_TRACT	-29.154
POLD3	253J_URINARY_TRACT	45.385
POLD1	253J_URINARY_TRACT	55.7
POLD4	253J_URINARY_TRACT	-20.336
POLE	253J_URINARY_TRACT	37.369
POLH	253J_URINARY_TRACT	-20.1
POLE2	253J_URINARY_TRACT	32.19
POLI	253J_URINARY_TRACT	-36.782
POLE3	253J_URINARY_TRACT	-3.881
POLK	253J_URINARY_TRACT	-25.8
POLE4	253J_URINARY_TRACT	-12.187
POLL	253J_URINARY_TRACT	-17.076
POLG	253J_URINARY_TRACT	-9.152
POLM	253J_URINARY_TRACT	-6.836
POLG2	253J_URINARY_TRACT	-10.199
POLN	253J_URINARY_TRACT	-24.565
POLQ	253J_URINARY_TRACT	-10.427
REV3L	253J_URINARY_TRACT	-5.274
MAD2L2	253J_URINARY_TRACT	15.278
POLE2	HCC827_LUNG	45.171
POLD1	HCC827_LUNG	39.923
POLE4	HCC827_LUNG	-0.288
POLE3	HCC827_LUNG	6.156
POLB	HCC827_LUNG	-35.687
POLD2	HCC827_LUNG	22.573
POLG	HCC827_LUNG	3.76
POLA2	HCC827_LUNG	35.181
POLD3	HCC827_LUNG	45.58
POLD4	HCC827_LUNG	-10.015
POLG2	HCC827_LUNG	8.771
POLH	HCC827_LUNG	-6.914
POLE	HCC827_LUNG	38.853
POLI	HCC827_LUNG	-29.555
POLK	HCC827_LUNG	-16.046
POLL	HCC827_LUNG	-18.421
POLM	HCC827_LUNG	-14.587
POLN	HCC827_LUNG	-17.318
POLQ	HCC827_LUNG	-5.338
REV3L	HCC827_LUNG	1.234
MAD2L2	HCC827_LUNG	3.206
POLD3	ONCODG1_OVARY	40.678
POLD4	ONCODG1_OVARY	-20.679
POLM	ONCODG1_OVARY	-20.241
POLD2	ONCODG1_OVARY	19.728
POLE2	ONCODG1_OVARY	48.111
POLE	ONCODG1_OVARY	26.235
POLA2	ONCODG1_OVARY	3.063
POLL	ONCODG1_OVARY	-12.738
POLE4	ONCODG1_OVARY	-3.233
POLB	ONCODG1_OVARY	-32.124
POLE3	ONCODG1_OVARY	2.467
POLN	ONCODG1_OVARY	-22.075
POLH	ONCODG1_OVARY	-11.022
POLD1	ONCODG1_OVARY	39.243
POLG	ONCODG1_OVARY	2.536
POLQ	ONCODG1_OVARY	-7.375
POLI	ONCODG1_OVARY	-40.516
POLG2	ONCODG1_OVARY	13.859
POLK	ONCODG1_OVARY	-17.6
MAD2L2	ONCODG1_OVARY	10.138
REV3L	ONCODG1_OVARY	3.27
POLD3	NCIH1581_LUNG	46.808
POLD2	NCIH1581_LUNG	18.915
POLD4	NCIH1581_LUNG	-21.241
POLA2	NCIH1581_LUNG	22.223
POLB	NCIH1581_LUNG	-31.907
POLE	NCIH1581_LUNG	44.573
POLD1	NCIH1581_LUNG	23.677
POLN	NCIH1581_LUNG	-26.069
POLH	NCIH1581_LUNG	-24.296
POLE2	NCIH1581_LUNG	20.039
POLL	NCIH1581_LUNG	-9.38
POLQ	NCIH1581_LUNG	-8.49
POLI	NCIH1581_LUNG	-39.435
POLE3	NCIH1581_LUNG	-11.916
POLM	NCIH1581_LUNG	-18.973
POLK	NCIH1581_LUNG	-14.61
POLE4	NCIH1581_LUNG	-20.318
POLG	NCIH1581_LUNG	13.124
POLG2	NCIH1581_LUNG	5.753
REV3L	NCIH1581_LUNG	12.785
MAD2L2	NCIH1581_LUNG	34.934
POLA2	SKBR3_BREAST	33.969
POLB	SKBR3_BREAST	-28.038
POLD1	SKBR3_BREAST	29.48
POLD2	SKBR3_BREAST	9.971
POLD3	SKBR3_BREAST	32.756
POLD4	SKBR3_BREAST	-16.632
POLE	SKBR3_BREAST	23.794
POLE4	SKBR3_BREAST	-13.578
POLH	SKBR3_BREAST	-5.168
POLE2	SKBR3_BREAST	48.766
POLG	SKBR3_BREAST	-18.251
POLI	SKBR3_BREAST	-37.862
POLE3	SKBR3_BREAST	-12.725
